session_id,time,value,peak_opacity,opacity_change_rate,significant_changes,duration,ambient_light_level,clearing_time,timestamp
ID217818,4800.0,1088.0,,,,,,,
ID217818,4929.0,1088.0,,,,,,,
ID217818,5058.0,1088.0,,,,,,,
ID217818,5186.0,1088.0,,,,,,,
ID217818,5315.0,1072.0,,,,,,,
ID217818,5444.0,1088.0,,,,,,,
ID217818,5572.0,1088.0,,,,,,,
ID217818,5701.0,1088.0,,,,,,,
ID217818,5829.0,1088.0,,,,,,,
ID217818,5958.0,1088.0,,,,,,,
ID217818,6086.0,1088.0,,,,,,,
ID217818,6215.0,1088.0,,,,,,,
ID217818,6343.0,1072.0,,,,,,,
ID217818,6472.0,1088.0,,,,,,,
ID217818,6601.0,1088.0,,,,,,,
ID217818,6730.0,1088.0,,,,,,,
ID217818,6858.0,1088.0,,,,,,,
ID217818,6987.0,1088.0,,,,,,,
ID217818,7115.0,1072.0,,,,,,,
ID217818,7244.0,1088.0,,,,,,,
ID217818,7372.0,1088.0,,,,,,,
ID217818,7501.0,1088.0,,,,,,,
ID217818,7629.0,1088.0,,,,,,,
ID217818,7758.0,1088.0,,,,,,,
ID217818,7886.0,1088.0,,,,,,,
ID217818,8015.0,1088.0,,,,,,,
ID217818,8143.0,1104.0,,,,,,,
ID217818,8272.0,1088.0,,,,,,,
ID217818,8401.0,1088.0,,,,,,,
ID217818,8530.0,1088.0,,,,,,,
ID217818,8658.0,1088.0,,,,,,,
ID217818,8787.0,1088.0,,,,,,,
ID217818,8915.0,1088.0,,,,,,,
ID217818,9044.0,1088.0,,,,,,,
ID217818,9173.0,1088.0,,,,,,,
ID217818,9302.0,1088.0,,,,,,,
ID217818,9430.0,1088.0,,,,,,,
ID217818,9559.0,1072.0,,,,,,,
ID217818,9688.0,1088.0,,,,,,,
ID217818,9817.0,1088.0,,,,,,,
ID217818,9945.0,1088.0,,,,,,,
ID217818,10074.0,1088.0,,,,,,,
ID217818,10203.0,1088.0,,,,,,,
ID217818,10331.0,1088.0,,,,,,,
ID217818,10460.0,1088.0,,,,,,,
ID217818,10589.0,1088.0,,,,,,,
ID217818,10717.0,1088.0,,,,,,,
ID217818,10846.0,1072.0,,,,,,,
ID217818,10975.0,1088.0,,,,,,,
ID217818,11103.0,1088.0,,,,,,,
ID217818,11232.0,1088.0,,,,,,,
ID217818,11361.0,1088.0,,,,,,,
ID217818,11489.0,1088.0,,,,,,,
ID217818,11618.0,1088.0,,,,,,,
ID217818,11747.0,1104.0,,,,,,,
ID217818,11875.0,1088.0,,,,,,,
ID217818,12004.0,1088.0,,,,,,,
ID217818,12133.0,1104.0,,,,,,,
ID217818,12261.0,1104.0,,,,,,,
ID217818,12390.0,1088.0,,,,,,,
ID217818,12518.0,1104.0,,,,,,,
ID217818,12647.0,1088.0,,,,,,,
ID217818,12776.0,1088.0,,,,,,,
ID217818,12904.0,1088.0,,,,,,,
ID217818,13033.0,1088.0,,,,,,,
ID217818,13161.0,1088.0,,,,,,,
ID217818,13290.0,1088.0,,,,,,,
ID217818,13419.0,1088.0,,,,,,,
ID217818,13547.0,1088.0,,,,,,,
ID217818,13676.0,1088.0,,,,,,,
ID217818,13804.0,1104.0,,,,,,,
ID217818,13933.0,1088.0,,,,,,,
ID217818,14061.0,1088.0,,,,,,,
ID217818,14190.0,1088.0,,,,,,,
ID217818,14318.0,1088.0,,,,,,,
ID217818,14447.0,1088.0,,,,,,,
ID217818,14576.0,1088.0,,,,,,,
ID217818,,,1104.0,4.070176,0.0,14.604,1089.6,0.129,
ID2987020,49.0,1072.0,,,,,,,3059.0
ID2987020,178.0,1072.0,,,,,,,3059.0
ID2987020,307.0,1072.0,,,,,,,3059.0
ID2987020,436.0,1072.0,,,,,,,3060.0
ID2987020,564.0,1072.0,,,,,,,3060.0
ID2987020,693.0,1072.0,,,,,,,3060.0
ID2987020,822.0,1072.0,,,,,,,3060.0
ID2987020,951.0,1088.0,,,,,,,3060.0
ID2987020,1080.0,1072.0,,,,,,,3060.0
ID2987020,1208.0,1088.0,,,,,,,3060.0
ID2987020,1337.0,1072.0,,,,,,,3060.0
ID2987020,1465.0,1088.0,,,,,,,3061.0
ID2987020,,,1088.0,6.666667,0.0,1.523,1072.0,0.129,
,0.0,10386.0,,,,,,,
,28.0,15235.0,,,,,,,
,157.0,15667.0,,,,,,,
,285.0,15539.0,,,,,,,
,414.0,15635.0,,,,,,,
,0.0,5169.0,,,,,,,
,29.0,240.0,,,,,,,
,155.0,240.0,,,,,,,
,255.0,256.0,,,,,,,
,356.0,240.0,,,,,,,
,456.0,224.0,,,,,,,
,556.0,240.0,,,,,,,
,657.0,256.0,,,,,,,
,757.0,240.0,,,,,,,
,858.0,256.0,,,,,,,
,958.0,240.0,,,,,,,
,1059.0,240.0,,,,,,,
,1159.0,224.0,,,,,,,
